,Group,MW
c6-diolefin-1,Di-Olefins,82.146
"trans-1,3-pentadiene",Di-Olefins,68.119
"2-methyl-1,3-butadiene",Di-Olefins,68.119
"1,1-dimethylindane",Indenes,146.233
2-methylindan,Indenes,132.20600000000002
"4,7-dimethylindane",Indenes,146.233
c1-indane-1,Indenes,118.179
dimethylindane-1,Indenes,146.233
dimethylindane-2,Indenes,146.233
indan,Indenes,118.179
indene,Indenes,116.163
4-methylindan,Indenes,132.20600000000002
"2,2,6-trimethyloctane",I-Paraffins,156.313
"2,5-dimethylheptane",I-Paraffins,128.259
"2,6-dimethyloctane",I-Paraffins,142.286
"3,5-dimethylheptane",I-Paraffins,128.259
3-methyl-5-ethylheptane,I-Paraffins,142.286
c10-isoparaffin-1,I-Paraffins,142.286
c10-isoparaffin-2,I-Paraffins,142.286
c10isoparaffin-1,I-Paraffins,142.286
c10-isoparaffin-x,I-Paraffins,142.286
c11-isoparaffin-13,I-Paraffins,156.313
c11-isoparaffin-11,I-Paraffins,156.313
c11isoparaffin-4,I-Paraffins,156.313
c11-isoparaffin-2,I-Paraffins,156.313
c11-isoparaffin-5,I-Paraffins,156.313
c11-isoparaffin-7,I-Paraffins,156.313
c11-isoparaffin-8,I-Paraffins,156.313
c12-isoparaffin-1,I-Paraffins,170.34
c12-isoparaffin-4,I-Paraffins,170.34
"3,3-diethylpentane",I-Paraffins,128.259
"2,3,5-trimethylhexane",I-Paraffins,128.259
"2,4-dimethylheptane",I-Paraffins,128.259
"2,6-dimethylheptane",I-Paraffins,128.259
2-methylpentane,I-Paraffins,86.178
"2,4-dimethylpentane",I-Paraffins,100.205
"2,2,4-trimethylheptane",I-Paraffins,142.286
"heptane,3-ethyl-",I-Paraffins,128.259
5-methylnonane,I-Paraffins,142.286
"2,2-dimethyloctane",I-Paraffins,142.286
"2,5-dimethyloctane",I-Paraffins,142.286
4-methylnonane,I-Paraffins,142.286
3-ethyl-3-methylheptane,I-Paraffins,142.286
"2,7-dimethyloctane",I-Paraffins,126.243
"2,4-dimethyloctane",I-Paraffins,142.286
3-methyloctane,I-Paraffins,128.259
4-methyloctane,I-Paraffins,128.259
2-methyloctane,I-Paraffins,128.259
"2,2,5-trimethylhexane",I-Paraffins,128.259
"2,2-dimethylpropane",I-Paraffins,72.15100000000002
"2,2,3-trimethylbutane",I-Paraffins,100.205
"2,2,4-trimethylpentane",I-Paraffins,114.232
"2,3,3-trimethylpentane",I-Paraffins,114.232
"3,3-dimethylhexane",I-Paraffins,114.232
"2,2,3-trimethylpentane",I-Paraffins,114.232
"2,3,4-trimethylpentane",I-Paraffins,114.232
"2,3-dimethylhexane",I-Paraffins,114.232
3-ethyloctane,I-Paraffins,142.286
3-methylhexane,I-Paraffins,100.205
"2,4-dimethylhexane",I-Paraffins,114.232
4-methylheptane,I-Paraffins,114.232
3-methylheptane,I-Paraffins,114.232
"2,2-dimethylhexane",I-Paraffins,114.232
3-methylnonane,I-Paraffins,142.286
2-methylhexane,I-Paraffins,100.205
"2,5-dimethylhexane",I-Paraffins,114.232
2-methylheptane,I-Paraffins,114.232
3-ethylhexane,I-Paraffins,114.232
i-butane,I-Paraffins,58.124
"2,2-dimethylbutane",I-Paraffins,86.178
i-pentane,I-Paraffins,72.15100000000002
"2,3-dimethylbutane",I-Paraffins,86.178
3-methylpentane,I-Paraffins,86.178
2-ethylpentene-1,Iso-Olefins,98.189
c10-isoolefin-4,Iso-Olefins,140.27
c7-iso-olefin-2,Iso-Olefins,98.189
c8-diolefin-1,Iso-Olefins,110.2
c9-isoolefin-1,Iso-Olefins,126.243
c9-isoolefin-3,Iso-Olefins,126.243
3-methyl-c-hexene-2,Iso-Olefins,98.189
2-methyl-c-hexene-3,Iso-Olefins,98.189
3-methyl-t-hexene-2,Iso-Olefins,98.189
2-methyl-2-hexene,Iso-Olefins,98.189
4-methyl-t/c-hexene-2,Iso-Olefins,98.189
3-methylhexene-1,Iso-Olefins,98.189
"1-pentene,2,3-dimethyl-",Iso-Olefins,98.189
"3,3-dimethylpentene-1",Iso-Olefins,98.189
5-methyl-1-hexene,Iso-Olefins,98.189
4-methylhexene-1,Iso-Olefins,98.189
3-methyl-t-hexene-3,Iso-Olefins,98.189
3-methyl-c-hexene-3,Iso-Olefins,98.189
"2-pentene,3,4-dimethyl-,(z)-",Iso-Olefins,98.189
2-methylbutene-2,Iso-Olefins,70.135
3-methylbutene-1,Iso-Olefins,70.135
2-methylbutene-1,Iso-Olefins,70.135
"2,3,3-trimethylbutene-1",Iso-Olefins,98.189
2-methylhexene-1,Iso-Olefins,98.189
2-methylpentene-2,Iso-Olefins,84.162
4-methyl-t-pentene-2,Iso-Olefins,84.162
4-methyl-c-pentene-2,Iso-Olefins,84.162
2-ethylbutene-1,Iso-Olefins,84.162
2-methylpentene-1,Iso-Olefins,84.162
