Compound,Fuel 1,Fuel 2,Fuel 3,Fuel 4,Fuel 5,Fuel 6,Fuel 7,Fuel 8,Fuel 9,Fuel 10,Fuel 11,Fuel 12,Fuel 13,Fuel 14,Fuel 15,Fuel 16,Fuel 20,Fuel 21,Fuel 22,Fuel 23,Fuel 24,Fuel 25,Fuel 26,Fuel 27,Fuel 28,Fuel 29,Fuel 30,Fuel 31
"1,1,3-trimethylcyclopentane",0.038,0.0,0.03,0.035,0.040999999999999995,0.0,0.021,0.0,0.013000000000000001,0.0,0.045,0.0,0.017,0.016,0.021,0.0,0.027000000000000003,0.032,0.026000000000000002,0.040999999999999995,0.027999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.015
"1,1-dimethylindane",0.005,0.013000000000000001,0.011000000000000001,0.011000000000000001,0.012,0.011000000000000001,0.015,0.005,0.055,0.044000000000000004,0.01,0.052000000000000005,0.027999999999999997,0.022000000000000002,0.0,0.0,0.0,0.015,0.009000000000000001,0.009000000000000001,0.019,0.037000000000000005,0.049,0.011000000000000001,0.018000000000000002,0.0,0.023,0.0
"1,1-methylethylcyclohexane",0.0,0.025,0.016,0.03,0.025,0.0,0.0,0.024,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.012,0.013000000000000001,0.013000000000000001,0.027999999999999997,0.022000000000000002,0.0,0.0,0.025,0.0,0.0,0.0,0.0
"1,2,3,5-tetramethylbenzene",0.265,0.348,0.281,0.317,0.349,0.319,0.32899999999999996,0.33899999999999997,1.247,0.713,0.379,1.193,0.8140000000000001,0.498,0.36700000000000005,0.377,0.28,0.353,0.264,0.29100000000000004,0.306,0.73,1.011,0.268,0.315,0.024,0.525,0.521
"1,2,3-trimethylbenzene",0.35200000000000004,0.349,0.20600000000000002,0.408,0.32,0.23800000000000002,0.382,0.4,0.316,0.7340000000000001,0.259,0.758,0.726,0.35700000000000004,0.355,0.23399999999999999,0.19,0.306,0.203,0.225,0.22,0.711,0.7070000000000001,0.342,0.366,0.091,0.425,0.5820000000000001
"1,2,4,5-tetramethylbenzene",0.195,0.264,0.204,0.24100000000000002,0.247,0.242,0.23199999999999998,0.237,0.902,0.547,0.268,0.867,0.5870000000000001,0.364,0.265,0.26899999999999996,0.204,0.254,0.192,0.222,0.23,0.5379999999999999,0.7390000000000001,0.21,0.235,0.017,0.379,0.375
"1,2,4-triethylbenzene",0.0,0.008,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006999999999999999,0.0,0.0,0.0,0.0
"1,2,4-trimethylbenzene",1.953,1.933,1.6540000000000001,2.319,2.029,2.0,2.1519999999999997,2.134,1.375,4.131,2.073,4.265,3.9939999999999998,1.8869999999999998,1.95,1.871,1.526,1.943,1.574,1.845,1.723,4.01,3.904,1.91,2.005,0.425,4.291,4.0569999999999995
"1,2-di-i-propylbenzene",0.032,0.048,0.034,0.042,0.039,0.043,0.042,0.040999999999999995,0.162,0.085,0.047,0.152,0.105,0.066,0.047,0.046,0.033,0.039,0.035,0.034,0.04,0.083,0.115,0.033,0.038,0.0,0.059000000000000004,0.059000000000000004
"1,2-diethylbenzene",0.045,0.128,0.039,0.12,0.025,0.128,0.027000000000000003,0.032,0.085,0.099,0.03,0.059000000000000004,0.085,0.106,0.032,0.027999999999999997,0.039,0.03,0.039,0.11599999999999999,0.0,0.079,0.061,0.115,0.027000000000000003,0.0,0.044000000000000004,0.045
