Fuel,"Density, 60oF","API Gravity, 60oF",Ethanol,Distillation                         IBP,0.05,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.95,FBP,DVPE (EPA equation),Aromatics,Olefins,Saturates,Benzene,S,RON,MON,(RON+MON)/2,C,H,O,Net Heat of Combustion,Water,Lead,Solvent Washed Gum Content,Total_pmi
1,0.7211000000000001,64.55,10.03,92.88,112.52,117.32,123.92,131.2,139.86,148.9,172.32,224.14,254.6,300.2,334.52,367.96,10.07,15.4,7.585714285714286,66.968,0.624,30.0,94.825,86.3,90.55,81.695,14.0225,3.86,41.95,0.0705,0.0,0.25,0.9599274353446678
2,0.722025,64.275,0.05,83.53333333333332,105.43333333333332,121.73333333333332,154.35,190.63333333333333,218.4583333333333,236.7,252.71666666666667,271.71666666666664,305.85833333333335,340.1,352.95833333333326,375.3416666666667,10.2,14.1,6.842857142857143,79.1,0.5075,23.33333333333333,96.0,88.625,92.3,85.12,14.4275,0.05,43.96,0.0095,0.0005,0.25,1.4141499740917642
3,0.73495,60.8,10.36,106.4,136.03333333333333,141.65,148.88333333333338,155.01666666666668,175.13333333333333,217.5,230.15,243.55,257.05,295.9,334.3833333333333,368.9333333333333,6.93,15.0,7.571428571428571,67.04400000000001,0.614,22.0,97.975,87.575,92.8,81.6075,14.17,3.88,41.536,0.059,0.0,0.25,0.9679589100814402
4,0.734625,60.875,9.94,89.85714285714286,115.9,126.25714285714287,140.88571428571427,151.74285714285716,161.15714285714287,221.9,245.8714285714286,269.95714285714286,303.5,337.5,351.9857142857142,369.8,10.01,15.5,6.805714285714287,67.768,0.542,20.8,97.125,87.55,92.35,82.20666666666666,14.116666666666667,3.74,41.952,0.0765,0.0,1.5,1.3968509127948758
5,0.7573249999999999,55.15,0.05,94.125,128.58333333333334,145.36666666666667,172.6,199.40833333333333,222.075,237.0,247.18333333333337,258.45,273.09166666666664,300.0,323.475,357.8416666666667,6.95,34.7,6.885714285714287,58.38571428571429,0.51,24.33333333333333,96.65,86.325,91.5,86.575,12.92,0.05,42.948,0.014,0.0015,0.25,1.4011209086237533
6,0.7341499999999999,61.05,10.56,106.67142857142856,130.37142857142857,135.9,142.64285714285714,148.25714285714284,153.41428571428577,188.5,228.22857142857143,267.7,310.11428571428576,340.4,352.6714285714285,369.21428571428567,7.24,15.0,8.8,65.6425,0.6839999999999999,22.8,96.25,86.6,91.45,81.5225,14.2075,3.975,41.78533333333333,0.0725,0.0,0.25,1.3820584287517403
7,0.720775,64.6,0.05,100.07272727272724,127.6181818181818,136.95454545454544,149.0,161.6818181818182,176.62727272727273,193.1,210.2,228.64545454545453,251.4636363636364,298.4,329.3,361.80909090909086,7.15,17.0,7.514285714285713,75.5142857142857,0.546,22.83333333333333,91.23333333333332,84.16666666666667,87.7,85.16,14.2525,0.05,43.73533333333334,0.019,0.0005,0.25,1.034736518079693
8,0.71905,65.1,0.05,83.72,108.05,123.39,151.55,185.12,204.43,221.1,233.48,246.35,264.03,303.1,330.5,360.87,10.2,15.7,6.366666666666666,77.95,0.4975,23.0,95.475,87.775,91.65,85.1225,14.3225,0.05,44.03666666666667,0.02,0.001,0.25,1.0481159460936442
9,0.7454000000000001,58.175,0.05,85.32,105.07,115.05,130.34,147.24,167.7,192.8,224.73,260.27,292.23,341.8,363.51,384.67,10.3,35.8,6.225,58.025,0.54,23.0,94.5,84.825,89.65,87.03,12.8225,0.05,43.20933333333334,0.009000000000000001,0.0005,0.25,2.0648678604665496
10,0.76435,53.4,9.82,104.71428571428572,130.04285714285714,136.34285714285713,144.31428571428572,151.02857142857144,161.55714285714288,217.1,261.54285714285714,290.37142857142857,317.5,340.2,354.3285714285715,372.4285714285714,7.11,34.0,6.1,50.1,0.522,24.83333333333333,98.5,87.2,92.85,83.46666666666665,12.8325,3.56,41.21,0.067,0.0015,0.25,2.104285780006842
11,0.759625,54.575,10.3,91.95,115.35,124.43333333333334,137.6,148.1,156.48333333333338,189.3,231.0666666666667,251.41666666666669,270.01666666666665,298.6,324.95,360.76666666666665,9.93,35.0,6.928571428571428,47.75880952380952,0.5359999999999999,24.33333333333333,97.8,85.6,91.7,83.67666666666666,12.61,3.733333333333333,41.17466666666667,0.0655,0.0,0.5,1.3601402236948714
12,0.751675,56.525,9.83,91.26666666666668,110.65,116.9,125.03333333333336,133.76666666666668,142.8166666666667,152.2,198.46666666666667,275.06666666666666,307.85,339.8,357.7333333333333,375.9,10.13,34.8,6.916666666666668,48.47133333333333,0.5720000000000001,19.33333333333333,100.375,87.975,94.2,83.3175,12.68,3.6,41.373333333333335,0.0655,0.0015,0.25,2.1590073004973624
13,0.753975,56.0,0.05,96.64615384615385,127.02307692307691,139.77692307692308,158.65384615384616,178.16153846153844,199.9076923076923,222.5,245.1692307692308,269.7769230769231,303.4846153846154,337.9,354.3538461538463,377.46153846153845,6.92,34.1,6.3,59.6,0.5125,22.83333333333333,95.825,85.8,90.8,86.76,13.1525,0.05,43.17066666666667,0.014,0.0005,1.5,1.9706792895073555
14,0.722325,64.175,0.05,100.44444444444444,126.4777777777778,135.52222222222224,147.27777777777774,160.0,175.11111111111111,192.8,211.98888888888888,237.27777777777771,280.06666666666666,338.5,354.4888888888889,377.4888888888889,7.14,16.9,8.483333333333334,74.64166666666667,0.518,24.16666666666667,91.45,84.625,88.05,85.2775,14.285,0.05,43.51866666666667,0.0145,0.0005,0.25,1.385898173197163
15,0.7427499999999999,58.8,0.05,84.68,105.51,115.58,130.53,146.63,166.3,189.7,216.21,242.96,265.91,299.4,329.28,363.68,10.23,35.3,7.24,57.44571428571428,0.5359999999999999,23.66666666666667,94.95,84.85,89.95,86.88,12.785,0.05,43.108000000000004,0.0115,0.0005,0.5,1.2766169491921706
16,0.76355,53.6,10.76,104.52857142857144,133.04285714285714,139.15714285714287,147.84285714285716,155.1,172.1142857142857,218.8,237.5142857142857,251.85714285714286,268.6,300.6,330.8142857142857,365.58571428571435,7.12,35.6,6.75,46.85083333333333,0.618,22.83333333333333,101.025,88.25,94.65,83.39666666666666,12.6575,3.8833333333333333,41.01333333333333,0.0655,0.0,1.0,1.3000323578623163
20,0.742475,58.875,20.31,107.92857142857143,137.34285714285713,142.62857142857143,149.71428571428572,155.27142857142857,159.62857142857143,162.7,179.85714285714292,234.8,253.14285714285717,298.7,336.62857142857143,371.9,6.7,15.2,7.375,57.13900000000001,0.6125,21.5,101.875,89.275,95.6,78.0625,14.0075,7.58,40.05733333333333,0.138,0.0015,0.25,0.8941076099931513
21,0.775375,50.8,20.14,106.3142857142857,134.72857142857143,141.32857142857142,150.25714285714284,157.12857142857143,162.57142857142858,167.6,217.25714285714284,255.2,275.25714285714287,305.0,331.2571428571428,360.4714285714286,7.06,35.5,7.128571428571428,37.256,0.6119999999999999,22.16666666666667,101.35,87.475,94.45,79.9,12.4275,7.14,39.284666666666666,0.128,0.009000000000000001,0.5,1.3237716207616408
22,0.7371,60.275,20.51,89.8,118.81666666666666,129.55,144.28333333333333,153.71666666666667,159.53333333333333,163.2,167.2,233.86666666666667,253.5833333333333,297.3,334.45,369.8666666666666,10.21,15.0,6.9,57.64,0.5925,20.83333333333333,101.75,89.325,95.55,78.2375,13.8475,7.68,40.030666666666654,0.113,0.004,0.25,0.8747316034863878
23,0.74755,57.575,20.32,109.01666666666668,133.25,138.91666666666669,146.18333333333334,152.33333333333331,157.76666666666668,162.5,171.61666666666667,270.8833333333334,311.3666666666667,338.2,349.9833333333333,364.6,6.84,15.9,7.457142857142856,56.35142857142858,0.6275,21.0,97.425,86.75,92.1,78.34,13.86,7.5,39.91466666666667,0.112,0.0015,0.5,1.350596569394483
24,0.7422,58.925,20.51,89.7,115.86,126.94,142.8,153.18,160.42,165.1,172.9,266.06,305.48,338.1,350.3,368.22,10.12,15.3,7.283333333333334,56.86933333333334,0.615,21.166666666666668,100.8,88.625,94.7,78.46666666666667,13.86,7.62,40.114000000000004,0.108,0.005,0.5,1.2445466867121748
25,0.7702249999999999,52.025,20.03,89.0,113.7,125.54,142.12,153.32,160.86,166.9,191.34,281.56,310.34,337.9,352.66,371.78,10.16,35.2,6.614285714285713,38.13171428571429,0.6519999999999999,25.66666666666667,102.2,88.325,95.25,80.62,12.38,7.18,38.85466666666667,0.1165,0.001,0.25,1.8994415673680591
26,0.7593,54.625,15.24,88.66666666666669,109.58333333333331,117.08333333333331,127.75,138.61666666666667,149.78333333333333,160.3,174.73333333333332,276.95,306.45,338.7,356.7166666666667,377.31666666666666,10.21,35.6,6.471428571428571,42.719142857142856,0.622,23.0,101.7,88.5,95.1,81.48,12.45,5.56,40.384,0.0875,0.0015,0.25,2.0292456438167745
